"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"465","22",465,"22.4","ft.B","16","100","com",""
"466","97",466,"97.4","ft.B","16","150","sem",""
"467","52",467,"52.4","ft.B","16","200","com",""
"468","85",468,"85.4","ft.B","24","100","sem",""
"469","70",469,"70.4","ft.B","24","50","sem",""
"470","4",470,"4.4","ft.B","8","50","com",""
"471","60",471,"60.4","lu.B","32","200","com",""
"472","73",472,"73.4","ft.B","32","50","sem",""
"473","8",473,"8.4","cg.B","16","50","com",""
"474","9",474,"9.4","lu.B","16","50","com",""
"475","116",475,"116.4","cg.B","24","200","sem",""
"476","100",476,"100.4","ft.B","24","150","sem",""
"477","80",477,"80.4","cg.B","8","100","sem",""
"478","103",478,"103.4","ft.B","32","150","sem",""
"479","33",479,"33.4","lu.B","1","150","com",""
"480","15",480,"15.4","lu.B","32","50","com",""
"481","23",481,"23.5","cg.B","16","100","com",""
"482","54",482,"54.5","lu.B","16","200","com",""
"483","67",483,"67.5","ft.B","16","50","sem",""
"484","28",484,"28.5","ft.B","32","100","com",""
"485","105",485,"105.5","lu.B","32","150","sem",""
"486","41",486,"41.5","cg.B","24","150","com",""
"487","13",487,"13.5","ft.B","32","50","com",""
"488","43",488,"43.5","ft.B","32","150","com",""
"489","64",489,"64.5","ft.B","8","50","sem",""
"490","57",490,"57.5","lu.B","24","200","com",""
"491","118",491,"118.5","ft.B","32","200","sem",""
"492","87",492,"87.5","lu.B","24","100","sem",""
"493","27",493,"27.5","lu.B","24","100","com",""
"494","24",494,"24.5","lu.B","16","100","com",""
"495","49",495,"49.5","ft.B","8","200","com",""
"496","45",496,"45.5","lu.B","32","150","com",""
"497","58",497,"58.5","ft.B","32","200","com",""
"498","59",498,"59.5","cg.B","32","200","com",""
"499","50",499,"50.5","cg.B","8","200","com",""
"500","9",500,"9.5","lu.B","16","50","com",""
"501","44",501,"44.5","cg.B","32","150","com",""
"502","17",502,"17.5","cg.B","1","100","com",""
"503","63",503,"63.5","lu.B","1","50","sem",""
"504","97",504,"97.5","ft.B","16","150","sem",""
"505","83",505,"83.5","cg.B","16","100","sem",""
"506","80",506,"80.5","cg.B","8","100","sem",""
"507","70",507,"70.5","ft.B","24","50","sem",""
"508","106",508,"106.5","ft.B","1","200","sem",""
"509","113",509,"113.5","cg.B","16","200","sem",""
"510","34",510,"34.5","ft.B","8","150","com",""
"511","89",511,"89.5","cg.B","32","100","sem",""
"512","4",512,"4.5","ft.B","8","50","com",""
"513","21",513,"21.5","lu.B","8","100","com",""
"514","76",514,"76.5","ft.B","1","100","sem",""
"515","1",515,"1.5","ft.B","1","50","com",""
"516","69",516,"69.5","lu.B","16","50","sem",""
"517","51",517,"51.5","lu.B","8","200","com",""
"518","120",518,"120.5","lu.B","32","200","sem",""
"519","48",519,"48.5","lu.B","1","200","com",""
"520","46",520,"46.5","ft.B","1","200","com",""
"521","111",521,"111.5","lu.B","8","200","sem",""
"522","99",522,"99.5","lu.B","16","150","sem",""
"523","56",523,"56.5","cg.B","24","200","com",""
"524","14",524,"14.5","cg.B","32","50","com",""
"525","117",525,"117.5","lu.B","24","200","sem",""
"526","22",526,"22.5","ft.B","16","100","com",""
"527","68",527,"68.5","cg.B","16","50","sem",""
"528","10",528,"10.5","ft.B","24","50","com",""
"529","92",529,"92.5","cg.B","1","150","sem",""
"530","26",530,"26.5","cg.B","24","100","com",""
"531","78",531,"78.5","lu.B","1","100","sem",""
"532","86",532,"86.5","cg.B","24","100","sem",""
"533","96",533,"96.5","lu.B","8","150","sem",""
"534","47",534,"47.5","cg.B","1","200","com",""
"535","109",535,"109.5","ft.B","8","200","sem",""
"536","19",536,"19.5","ft.B","8","100","com",""
"537","90",537,"90.5","lu.B","32","100","sem",""
"538","107",538,"107.5","cg.B","1","200","sem",""
"539","82",539,"82.5","ft.B","16","100","sem",""
"540","102",540,"102.5","lu.B","24","150","sem",""
