"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"1987","23",1987,"23.17",cg.B,16,100,com,24.36
"1988","24",1988,"24.17",lu.B,16,100,com,37.96
"1989","43",1989,"43.17",ft.B,32,150,com,7.59
"1990","27",1990,"27.17",lu.B,24,100,com,35.04
"1991","51",1991,"51.17",lu.B,8,200,com,39.92
"1992","84",1992,"84.17",lu.B,16,100,sem,42.62
"1993","30",1993,"30.17",lu.B,32,100,com,35.43
"1994","45",1994,"45.17",lu.B,32,150,com,34.66
"1995","10",1995,"10.17",ft.B,24,50,com,8.03
"1996","104",1996,"104.17",cg.B,32,150,sem,24.31
"1997","88",1997,"88.17",ft.B,32,100,sem,7.66
"1998","120",1998,"120.17",lu.B,32,200,sem,42.65
"1999","117",1999,"117.17",lu.B,24,200,sem,36.50
"2000","101",2000,"101.17",cg.B,24,150,sem,27.30
"2001","106",2001,"106.17",ft.B,1,200,sem,8.00
"2002","92",2002,"92.17",cg.B,1,150,sem,30.49
"2003","33",2003,"33.17",lu.B,1,150,com,38.45
"2004","108",2004,"108.17",lu.B,1,200,sem,34.87
"2005","93",2005,"93.17",lu.B,1,150,sem,38.54
"2006","111",2006,"111.17",lu.B,8,200,sem,38.57
"2007","40",2007,"40.17",ft.B,24,150,com,8.12
"2008","70",2008,"70.17",ft.B,24,50,sem,7.68
"2009","47",2009,"47.17",cg.B,1,200,com,27.37
"2010","102",2010,"102.17",lu.B,24,150,sem,38.18
"2011","98",2011,"98.17",cg.B,16,150,sem,23.59
"2012","78",2012,"78.17",lu.B,1,100,sem,38.82
"2013","100",2013,"100.17",ft.B,24,150,sem,7.61
"2014","8",2014,"8.17",cg.B,16,50,com,23.71
"2015","16",2015,"16.17",ft.B,1,100,com,7.85
"2016","72",2016,"72.17",lu.B,24,50,sem,38.94
"2017","64",2017,"64.17",ft.B,8,50,sem,7.76
"2018","68",2018,"68.17",cg.B,16,50,sem,32.87
"2019","53",2019,"53.17",cg.B,16,200,com,23.11
"2020","103",2020,"103.17",ft.B,32,150,sem,8.07
"2021","42",2021,"42.17",lu.B,24,150,com,38.06
"2022","85",2022,"85.17",ft.B,24,100,sem,7.63
"2023","63",2023,"63.17",lu.B,1,50,sem,39.31
"2024","21",2024,"21.17",lu.B,8,100,com,43.24
"2025","50",2025,"50.17",cg.B,8,200,com,24.64
"2026","22",2026,"22.17",ft.B,16,100,com,7.78
"2027","82",2027,"82.17",ft.B,16,100,sem,7.74
"2028","62",2028,"62.17",cg.B,1,50,sem,24.38
"2029","29",2029,"29.17",cg.B,32,100,com,31.73
"2030","74",2030,"74.17",cg.B,32,50,sem,24.56
"2031","34",2031,"34.17",ft.B,8,150,com,8.39
"2032","18",2032,"18.17",lu.B,1,100,com,49.36
"2033","46",2033,"46.17",ft.B,1,200,com,8.22
"2034","5",2034,"5.17",cg.B,8,50,com,25.30
"2035","113",2035,"113.17",cg.B,16,200,sem,25.69
"2036","2",2036,"2.17",cg.B,1,50,com,27.48
"2037","86",2037,"86.17",cg.B,24,100,sem,25.82
"2038","73",2038,"73.17",ft.B,32,50,sem,7.76
"2039","112",2039,"112.17",ft.B,16,200,sem,8.88
"2040","118",2040,"118.17",ft.B,32,200,sem,7.62
"2041","13",2041,"13.18",ft.B,32,50,com,8.84
"2042","110",2042,"110.18",cg.B,8,200,sem,26.31
"2043","62",2043,"62.18",cg.B,1,50,sem,23.74
"2044","107",2044,"107.18",cg.B,1,200,sem,25.81
"2045","72",2045,"72.18",lu.B,24,50,sem,36.80
